bucket,domain,url,tranco_rank,predicted_model,model_confidence,predicted_industry,predicted_revenue,revenue_confidence,is_real_business,model_ok,true_model,industry_ok,true_industry,true_revenue,notes
model:Ecommerce:high,spxflow.com.co,https://spxflow.com.co,\N,Ecommerce,0.86,,<$1M,0.57,y,n,LocalBusiness,,,,actually just a local shop | AI-check: note says 'just a local shop' but model_ok=y for Ecommerce; distributor without a cart - consider LocalBusiness/Distributor | adjudicated 2026-08-12: owner approved AI reading
model:Ecommerce:high,asiahilco.com,https://asiahilco.com,\N,Ecommerce,0.99,Construction & Manufacturing,$1M-$10M,0.93,y,y,,y,,$1M-$10M,
model:Ecommerce:low,trabzonmap.com,https://trabzonmap.com,\N,Ecommerce,0.56,Real Estate,<$1M,0.84,y,n,Directory,y,,,AI-check: Arabic property-listings site - Directory rather than Media? | adjudicated 2026-08-12: owner approved AI reading
model:Agency:low,chillieslabs.com,https://chillieslabs.com,\N,Agency,0.51,Food & Beverage,<$1M,0.87,y,y,,,,,AI-check: content shows a functioning creative production agency - why n? re-check | adjudicated 2026-08-12: owner approved AI reading
model:Community:low,instituteforzambiandevelopment.org,https://instituteforzambiandevelopment.org,\N,Community,0.5,,$100M-$1B,0.77,n,,,,,,AI: hosting-suspended Bizland page; Community@0.5 + rev $100M-$1B predicted on a dead site
model:Consulting:high,yuuki-kobe.com,https://yuuki-kobe.com,\N,Consulting,0.8,Productivity,<$1M,0.71,y,y,,n,Construction,,AI: local landscaping/civil construction firm (Kobe) - LocalBusiness web presence; Consulting is nearest current class
model:Media:low,sbrightsagency.com,https://sbrightsagency.com,\N,Media,0.42,,<$1M,0.88,y,n,Agency,n,Publishing,<$1M,"AI: children's-book foreign-rights agency, solo founder"
model:Marketplace:low,bringers.nl,https://bringers.nl,\N,Marketplace,0.4,,,\N,n,,,,,,AI: parked - Dovendi domain-for-sale
model:Marketplace:low,loppersum.de,https://loppersum.de,\N,Marketplace,0.4,,,\N,n,,,,,,AI: parked - same Dovendi template as bringers.nl
model:Tool:low,isapexchange.com,https://isapexchange.com,\N,Tool,0.56,HR & Recruiting,<$1M,0.78,y,n,Consulting,n,Finance,,AI: UAE remittance/currency-exchange services company; Tool misfired on the on-page currency-converter widget
model:Directory:low,rhinoprojects.co.il,https://rhinoprojects.co.il,\N,Directory,0.46,DevTools,<$1M,0.67,y,n,Agency,n,Real Estate,,AI: Israeli real-estate sales & marketing agency
model:Media:low,oninstitutehealthwellnessclub.es,https://oninstitutehealthwellnessclub.es,\N,Media,0.58,,,\N,y,n,LocalBusiness,n,Health & Fitness,<$1M,"AI: personal-training studio (Spain); LocalBusiness = invented class, taxonomy gap"
model:Education:low,hoofandpawtrac.org,https://hoofandpawtrac.org,\N,Education,0.62,,$1M-$10M,0.85,y,y,,n,Education,<$1M,AI: nonprofit therapeutic riding center - org_type gap (nonprofit); Education acceptable
model:Community:low,reddingrotary.org,https://reddingrotary.org,\N,Community,0.56,,<$1M,0.59,y,y,,,,<$1M,"AI: Rotary club - nonprofit, org_type gap; Community acceptable"
model:Community:low,tymsapp.io,https://tymsapp.io,\N,Community,0.62,DevTools,<$1M,0.78,n,,,,,,AI: Hostinger Horizons placeholder
model:SaaS:low,elpcloud.com,https://elpcloud.com,\N,SaaS,0.56,Construction & Manufacturing,,\N,n,,,,,,AI: dead - no HTTP response
model:Tool:low,lunyce.fr,https://lunyce.fr,\N,Tool,0.54,Ecommerce & Retail,<$1M,0.88,y,n,Agency,n,Marketing,<$1M,AI: productized website agency for artisans (109 EUR/mo); title tag leaks an HTML comment
model:Newsletter:low,chappaquaems.org,https://chappaquaems.org,\N,Newsletter,0.55,,<$1M,0.78,y,n,Community,n,Healthcare,<$1M,AI: volunteer ambulance corps - nonprofit; Newsletter misfire
model:Education:low,shiftclick.uk,https://shiftclick.uk,\N,Education,0.53,DevTools,<$1M,0.75,y,y,,n,Education,<$1M,AI: free coding-training programme for young people
model:Media:high,publicmediacontent.org,https://publicmediacontent.org,\N,Media,0.87,Media & Entertainment,<$1M,0.44,y,y,,y,,<$1M,AI: Mongolian public-interest media foundation - nonprofit
model:Marketplace:low,actpractice.org,https://actpractice.org,\N,Marketplace,0.41,Ecommerce & Retail,<$1M,0.69,n,,,,,,AI: hijacked - redirects to dihedi.com cloaked 'Verification' spam; junk taxonomy gap: neither parked nor placeholder
model:SaaS:low,binaryinfura.com,https://binaryinfura.com,\N,SaaS,0.62,AI & ML,<$1M,0.66,y,n,Agency,y,,<$1M,AI: software engineering agency; SaaS misfire (they build SaaS for others)
model:Community:high,spaziofamiglie3v.ch,https://spaziofamiglie3v.ch,\N,Community,0.82,,,\N,y,y,,,,<$1M,AI: family association (Ticino) - nonprofit
model:Newsletter:low,stopabo.be,https://stopabo.be,\N,Newsletter,0.4,,$1M-$10M,0.49,y,n,SaaS,n,Consumer Services,,AI: subscription-cancellation web service; Newsletter@0.4 misfire on 'abonnementen'
model:Tool:low,hlweb.se,https://hlweb.se,\N,Tool,0.62,DevTools,<$1M,0.71,n,,,,,,AI: personal links portal / infrastructure page
model:SaaS:low,laurenpegg.nz,https://laurenpegg.nz,\N,SaaS,0.56,,<$1M,0.59,n,,,,,,AI: parked - 1st Domains placeholder
model:Tool:low,schweyer-marti.ch,https://schweyer-marti.ch,\N,Tool,0.54,Home & Garden,<$1M,0.65,y,n,Consulting,n,Architecture,,AI: Swiss architecture firm; Tool misfire
model:Directory:low,mrsqm.com,https://mrsqm.com,\N,Directory,0.64,Real Estate,,\N,n,,,,,,"AI: dead - DNS resolves, no HTTP response"
model:Education:low,jsc-crossfit.ch,https://jsc-crossfit.ch,\N,Education,0.45,,<$1M,0.7,y,n,LocalBusiness,n,Health & Fitness,<$1M,AI: CrossFit gym Lausanne - LocalBusiness gap
model:SaaS:low,reviewgopher.com,https://reviewgopher.com,\N,SaaS,0.43,Ecommerce & Retail,<$1M,0.62,y,y,,n,Marketing,<$1M,"AI: review-automation SaaS - correct at 0.43, BELOW the 0.55 cutoff (recall loss)"
model:Consulting:high,almadvogados.com.br,https://almadvogados.com.br,\N,Consulting,0.84,Legal,$1M-$10M,0.69,y,y,,y,,,AI: redirects to marinadvogados.com.br - Sao Paulo law firm
model:Agency:high,rondebu.com,https://rondebu.com,\N,Agency,1,Marketing,<$1M,0.52,y,y,,y,,<$1M,AI: redirects to infeenix.com - Panama web/marketing agency
model:Consulting:high,coinny-gateway.com,https://coinny-gateway.com,\N,Consulting,0.8,Fintech,<$1M,0.72,n,,,,,,"AI: crypto withdrawal/recovery SCAM (fake live payouts, stuck-funds bait); Consulting@0.8/Fintech - junk taxonomy needs a 'scam' value"
model:Marketplace:high,achetervendremagasinsport.com,https://achetervendremagasinsport.com,\N,Marketplace,1,Ecommerce & Retail,<$1M,0.73,y,n,Agency,n,IT Services,,AI: Netysoft e-commerce consulting/dev; Marketplace@1.0 keyword misfire - confidence 1.0 is fiction
model:Directory:low,birdtripper.com,https://birdtripper.com,\N,Directory,0.62,Travel,<$1M,0.74,y,y,,y,,<$1M,AI: birding travel directory
model:Directory:low,meetagentpics.com,https://meetagentpics.com,\N,Directory,0.64,Real Estate,$1M-$10M,0.84,y,n,SaaS,y,,<$1M,AI: redirects to ovvy.ai - AI real-estate photo app
model:Education:low,cantstopthegrowth.com,https://cantstopthegrowth.com,\N,Education,0.62,Media & Entertainment,$1M-$10M,0.64,y,y,,n,Home Services,,AI: training/coaching community for home-services leaders; Education acceptable
model:Agency:high,riary.com,https://riary.com,\N,Agency,0.88,Fashion,<$1M,0.85,y,y,,n,Design,<$1M,AI: branding/web design studio; industry Fashion wrong
model:Directory:low,koten-oekaki.com,https://koten-oekaki.com,\N,Directory,0.59,,<$1M,0.71,n,,,,,,"AI: empty WordPress, no content"
model:Newsletter:low,carlhead.com,https://carlhead.com,\N,Newsletter,0.61,,<$1M,0.72,y,y,,,,<$1M,AI: personal Substack - borderline personal blog; Newsletter technically correct
model:Consulting:high,contodi.com,https://contodi.com,\N,Consulting,0.89,Healthcare,<$1M,0.53,y,y,,n,Accounting,<$1M,AI: Montenegro accounting & business advisory; industry Healthcare wrong
model:Newsletter:low,thebarnett.net,https://thebarnett.net,\N,Newsletter,0.6,,<$1M,0.82,n,,,,,,AI: mail-in-a-box server page - pure infrastructure
model:SaaS:high,rangehq.ca,https://rangehq.ca,\N,SaaS,0.88,,<$1M,0.79,y,y,,n,Sports & Recreation,<$1M,AI: SaaS for Canadian gun ranges - SaaS@0.88 correct
model:Agency:high,devcohn.com,https://devcohn.com,\N,Agency,0.8,DevTools,$1M-$10M,0.53,y,y,,n,IT Services,,"AI: dev+consulting firm; DevTools is what they use, not what they are"
model:Education:high,fipead.com.br,https://fipead.com.br,\N,Education,0.91,Education,<$1M,0.74,y,y,,y,,,AI: accredited Brazilian online college (MEC Portaria 06/2018)
model:Agency:high,yoki-create.com,https://yoki-create.com,\N,Agency,1,DevTools,<$1M,0.4,y,y,,n,Design,<$1M,AI: personal design portfolio (freelancer); Agency@1.0 confidence fiction
model:Marketplace:high,traxsales.com,https://traxsales.com,\N,Marketplace,0.85,Ecommerce & Retail,<$1M,0.61,y,n,SaaS,y,,<$1M,AI: retail people-counting product (hw+sw); Marketplace misfire
model:SaaS:high,softwarerifiuti.com,https://softwarerifiuti.com,\N,SaaS,0.9,DevTools,<$1M,0.71,y,y,,n,Environmental,$1M-$10M,"AI: Italian waste-compliance SaaS, 2500+ clients; redirects to prometeorifiuti.com"
model:SaaS:high,payzum.com,https://payzum.com,\N,SaaS,0.84,Fintech,<$1M,0.78,y,y,,y,,<$1M,AI: non-custodial crypto payment processor
model:Marketplace:high,webaccept.com,https://webaccept.com,\N,Marketplace,0.8,Ecommerce & Retail,,\N,n,,,,,,AI: parked - for-sale template (FR)
model:Media:high,contentwriter.it,https://contentwriter.it,\N,Media,0.81,,$1M-$10M,0.44,y,n,Agency,n,Marketing,,"AI: copywriting agency (intl group); Media misfire - sells writing services, not a publication"
model:Education:high,next-degree.com,https://next-degree.com,\N,Education,0.87,Education,<$1M,0.75,y,y,,y,,,AI: Thai online-degree programme with Phitsanulok University
model:Community:high,majiyuru.com,https://majiyuru.com,\N,Community,0.94,Productivity,<$1M,0.66,y,n,SaaS,n,Software,<$1M,"AI: 2-person JP software company (Mogupick, BasketGo); Community@0.94 badly miscalibrated"
model:Marketplace:high,jushatech.com,https://jushatech.com,\N,Marketplace,1,Ecommerce & Retail,<$1M,0.91,y,n,Agency,y,,,"AI: CN e-commerce operations/growth services; generic template, low content confidence"
model:Education:high,taiwa-academy.com,https://taiwa-academy.com,\N,Education,0.83,Education,<$1M,0.64,y,y,,y,,<$1M,"AI: kids athletics club, ex-Olympian coach"
model:Newsletter:high,mailmaag.com,https://mailmaag.com,\N,Newsletter,0.93,,<$1M,0.74,n,,,,,,AI: bare listmonk instance - infrastructure; Newsletter@0.93 keyword trap
model:Education:high,carmelsafety.co.il,https://carmelsafety.co.il,\N,Education,0.8,Education,$1M-$10M,0.5,y,y,,y,,$1M-$10M,"AI: Israeli safety-training college, large course catalog"
model:SaaS:high,instagapi.com,https://instagapi.com,\N,SaaS,0.81,DevTools,<$1M,0.72,y,y,,y,,<$1M,AI: Instagram data API (unofficial)
model:Tool:high,lucadigitale.com,https://lucadigitale.com,\N,Tool,0.8,Marketing,<$1M,0.68,y,y,,n,Marketing,<$1M,"AI: Builderall affiliate mirror under own domain - duplicate-content lead, junk-adjacent"
model:Community:high,sapancasifakoyu.com,https://sapancasifakoyu.com,\N,Community,0.82,DevTools,<$1M,0.44,y,n,LocalBusiness,n,Wellness,<$1M,AI: healing-village retreat with reservations (TR) - Hospitality/LocalBusiness gap
model:Media:high,epsteinyearbook.com,https://epsteinyearbook.com,\N,Media,0.8,,<$1M,0.67,n,,,,,,AI: stunt domain redirecting to a valiantnews.com article - not a business
model:Marketplace:high,verasec.nl,https://verasec.nl,\N,Marketplace,0.86,Travel,<$1M,0.73,y,n,Media,y,,<$1M,"AI: NL travel ad network (20 sites) selling advertorials - publisher, not marketplace"
model:Newsletter:high,emailsguru.com,https://emailsguru.com,1825501,Newsletter,0.8,Marketing,<$1M,0.94,y,n,Tool,n,Software,<$1M,AI: email file-converter utilities vendor; Newsletter misfire on 'email' keywords
model:Tool:high,siposzoltain.hu,https://siposzoltain.hu,4021920,Tool,0.86,AI & ML,<$1M,0.69,y,n,Consulting,y,,<$1M,AI: solo AI consultant with side products (HU)
model:Community:high,trazosestudio.es,https://trazosestudio.es,\N,Community,0.83,Productivity,<$1M,0.73,y,n,Consulting,n,Architecture,<$1M,AI: drafting/CAD services studio; Community@0.83 miscalibrated
model:Education:high,edyou.com,https://edyou.com,\N,Education,0.87,AI & ML,<$1M,0.68,y,y,,y,,,"AI: AI teaching platform for medical education - EdTech, Education acceptable"
model:Community:high,mobinertebat.net,https://mobinertebat.net,\N,Community,0.98,Security,<$1M,0.78,y,n,Consulting,y,,,AI: Iranian network-infrastructure integrator; Community@0.98 = worst calibration point in the set
model:SaaS:high,repboostnow.com,https://repboostnow.com,\N,SaaS,0.8,Marketing,,\N,n,,,,,,AI: dead - no response
model:Tool:high,onvibe.fr,https://onvibe.fr,\N,Tool,0.84,DevTools,<$1M,0.72,n,,,,,,AI: personal dev blog (rules: personal blog = n); Tool@0.84 misfire
model:Newsletter:high,momentumpublicationswritten.com,https://momentumpublicationswritten.com,\N,Newsletter,0.91,Marketing,<$1M,0.62,y,n,Agency,y,,<$1M,"AI: newsletter ADVERTISING network (redirects to momentumpublications.com) - sells ads, not a newsletter"
model:Tool:high,flyprimeglobal.com,https://flyprimeglobal.com,\N,Tool,0.84,AI & ML,<$1M,0.79,n,,,,,,"AI: 'My Google AI Studio App' placeholder, 409 bytes"
model:Media:high,quarten.ch,https://quarten.ch,\N,Media,0.83,,<$1M,0.55,y,n,Government,n,Government,,AI: Swiss municipality website - Government class missing; not a sellable lead
model:Newsletter:high,artedeminasmg.com.br,https://artedeminasmg.com.br,\N,Newsletter,1,Marketing,<$1M,0.74,y,n,Ecommerce,n,Retail,<$1M,"AI: BR web store, page half-broken; Newsletter@1.0 fired on the signup widget - flagship keyword trap"
model:Media:high,kurmaydijital.net,https://kurmaydijital.net,3446261,Media,0.82,Media & Entertainment,<$1M,0.7,y,y,,n,Publishing,,"AI: Turkish educational publisher, 9 brands / 430+ titles"
model:Newsletter:high,adblip.com.br,https://adblip.com.br,\N,Newsletter,0.89,Marketing,<$1M,0.78,y,n,SaaS,y,,<$1M,AI: ad-report automation SaaS; Newsletter misfire on 'sends by email' copy
model:Directory:high,corehousing.co.jp,https://corehousing.co.jp,\N,Directory,0.88,Real Estate,<$1M,0.7,y,n,LocalBusiness,y,,,AI: local real-estate brokerage (Chiba); Directory misfired on the listings UI
model:Directory:high,cotswoldspages.com,https://cotswoldspages.com,\N,Directory,0.91,,<$1M,0.79,y,y,,,,<$1M,AI: local business directory - Directory@0.91 correct
model:Directory:high,comfortathome.org,https://comfortathome.org,\N,Directory,0.87,,$1M-$10M,0.62,n,,,,,,AI: empty Google Sites shell ('Your page title'); Directory@0.87 + rev $1M-$10M predicted on nothing
model:Directory:high,unitem.nl,https://unitem.nl,\N,Directory,0.81,Ecommerce & Retail,,\N,n,,,,,,AI: WordPress 404 as homepage - broken/empty
unclassified,somos.com,https://somos.com,456091,,,,$10M-$100M,0.88,y,,SaaS,,,$10M-$100M,"AI: US toll-free registry administrator (TFNRegistry/NANPA); revenue $27-35M per Kona/Growjo - recall miss, pred rev bracket was RIGHT"
unclassified,newport.com,https://newport.com,200646,,,,$100M-$1B,0.97,y,,Manufacturer,,,$100M-$1B,AI: Newport/MKS photonics manufacturer with online catalog - Manufacturer class gap
unclassified,myeyedr.com,https://myeyedr.com,135940,,,,$10M-$100M,0.99,y,,LocalBusiness,,,$100M-$1B,"AI: WAF-blocked (CF 403); labeled from knowledge - US optometry chain, ~600 locations"
unclassified,bluecrossmn.com,https://bluecrossmn.com,153647,,,,$100M-$1B,0.99,y,,Insurance,,,$1B+,AI: WAF-blocked (Incapsula); BCBS Minnesota health insurer - Insurance class gap
unclassified,anabolikatabletten.com,https://anabolikatabletten.com,1034933,,,,<$1M,0.62,n,,,,,,AI: cloaked anabolic-steroid shop behind antibot wall - scam/gray junk category gap
unclassified,ubagroup.com,https://ubagroup.com,52328,,,,$100M-$1B,0.81,y,,Bank,,,$1B+,"AI: empty JS shell fetched; United Bank for Africa, pan-African bank"
unclassified,destinationcolorado.com,https://destinationcolorado.com,3692561,,,,$1M-$10M,0.87,y,,Directory,,,,AI: Colorado meetings-industry association / venue directory
unclassified,newauction.org,https://newauction.org,40178,,,,$10M-$100M,0.74,n,,,,,,AI: broken - Cloudflare 526 invalid origin SSL
unclassified,maidstone-jobs.co.uk,https://maidstone-jobs.co.uk,4102439,,,,<$1M,0.7,y,,Marketplace,,,<$1M,AI: white-label local job board (Britishjobs network)
unclassified,serviceinnovation.org,https://serviceinnovation.org,1507163,,,,$100M-$1B,0.96,n,,,,,,AI: HTTP 200 with 0-byte body - junk detector cannot see 'empty 200' pages
unclassified,petsensedirect.co.uk,https://petsensedirect.co.uk,2784426,,,,<$1M,0.59,y,,Ecommerce,,,$1M-$10M,"AI: UK online pet store, 10 yrs trading"
unclassified,casino.at,https://casino.at,365449,,,,$10M-$100M,0.78,y,,Media,,,$1M-$10M,AI: casino-comparison affiliate on premium .at domain
unclassified,star.com.au,https://star.com.au,123735,,,,$10M-$100M,0.97,y,,LocalBusiness,,,$100M-$1B,"AI: The Star Entertainment, ASX casino operator - FY25 revenue A$1.36B ~= US$0.9B; pred $10M-$100M one bracket low"
unclassified,apartostudent.com,https://apartostudent.com,1050692,,,,<$1M,0.85,y,,LocalBusiness,,,$10M-$100M,AI: aparto (Hines) student-accommodation operator UK/IE/ES/IT/FR; pred <$1M far low
unclassified,macu.com,https://macu.com,116328,,,,$10M-$100M,0.99,y,,Bank,,,$100M-$1B,"AI: empty JS shell; Mountain America Credit Union - revenue $943M (2026), $20B assets"
unclassified,abnsave.com,https://abnsave.com,2158194,,,,$100M-$1B,0.93,y,,Marketplace,,,<$1M,AI: member-discount benefits program; pred rev $100M-$1B wildly off
unclassified,im-data.jp,https://im-data.jp,4073131,,,,<$1M,0.76,n,,,,,,AI: 199-byte empty response - cannot identify a business
unclassified,policebank.com.au,https://policebank.com.au,260424,,,,$100M-$1B,0.88,y,,Bank,,,,AI: empty JS shell; Police Bank AU mutual bank - bracket left blank (interest-income ambiguity)
unclassified,portlandrescuemission.org,https://portlandrescuemission.org,1861500,,,,$1M-$10M,0.76,y,,Nonprofit,,,,AI: Cloudflare-blocked; homeless-services charity - Nonprofit org_type gap
unclassified,ab-inbev.com,https://ab-inbev.com,43901,,,,$100M-$1B,0.81,y,,Manufacturer,,,$1B+,"AI: AB InBev, ~$59B global brewer - unclassified = recall miss on a giant; Manufacturer/CPG class gap"
revenue:<$1M,teresapsicologainfantilyadulto.es,https://teresapsicologainfantilyadulto.es,\N,Ecommerce,0.74,,<$1M,0.71,y,n,LocalBusiness,n,Healthcare,<$1M,"AI: solo psychologist practice (Cadiz); pred Ecommerce@0.74 wrong, rev <$1M correct"
revenue:<$1M,mayorofscottsdale.com,https://mayorofscottsdale.com,\N,Marketplace,0.74,Ecommerce & Retail,<$1M,0.82,n,,,,,,"AI: Cloudflare 522, origin down - dead"
revenue:<$1M,dirhamz.com,https://dirhamz.com,\N,Ecommerce,0.74,,<$1M,0.82,y,y,,n,Retail,<$1M,AI: small UAE household-goods web store - model AND rev correct
revenue:$1M-$10M,gitsols.com,https://gitsols.com,\N,Consulting,0.72,Productivity,$1M-$10M,0.58,y,y,,n,IT Services,$1M-$10M,"AI: US managed-IT/cybersecurity provider - pred bracket plausible, confirmed gut"
revenue:$1M-$10M,heritagegatesandrailings.co.uk,https://heritagegatesandrailings.co.uk,\N,Consulting,0.56,,$1M-$10M,0.6,y,y,,n,Construction,<$1M,"AI: bespoke gates fabricator (Bournemouth), trade LocalBusiness; pred $1M-$10M looks one bracket high"
revenue:$100M-$1B,mrbadvogados.com.br,https://mrbadvogados.com.br,\N,Consulting,0.59,Legal,$100M-$1B,0.51,n,,,,,,AI: dead - no response; pred Consulting + $100M-$1B on a dead law-firm domain
revenue:$100M-$1B,aubreycompany.com,https://aubreycompany.com,\N,Ecommerce,0.74,Healthcare,$100M-$1B,0.88,y,n,Consulting,n,Beauty,<$1M,AI: near-empty brochure of a brand-rep company; pred rev $100M-$1B on a 3-page site - estimator failure
revenue:$10M-$100M,kinvault.com,https://kinvault.com,\N,Community,0.44,,$10M-$100M,0.95,y,n,SaaS,n,Fintech,<$1M,AI: UK estate-handover SaaS startup; pred $10M-$100M far high
revenue:$10M-$100M,webdesignclip.com,https://webdesignclip.com,625072,Agency,0.76,Media & Entertainment,$10M-$100M,0.84,y,n,Directory,n,Design,<$1M,AI: JP web-design gallery; pred Agency + $10M-$100M both wrong
revenue:$100M-$1B,3stateconsulting.com,https://3stateconsulting.com,\N,Marketplace,0.41,Ecommerce & Retail,$100M-$1B,0.83,n,,,,,,AI: page renders only a CCPA footer link - empty/broken; pred rev $100M-$1B
revenue:$100M-$1B,londonintelligence.co.uk,https://londonintelligence.co.uk,\N,Media,0.62,,$100M-$1B,0.59,y,y,,n,Media & Publishing,<$1M,AI: one-person investigative-journalism site; pred rev $100M-$1B off by ~4 brackets - flagship estimator failure
revenue:$10M-$100M,prodigylabdental.com,https://prodigylabdental.com,\N,Consulting,0.66,Healthcare,$10M-$100M,0.58,y,n,LocalBusiness,y,,<$1M,AI: Bogota digital dental lab (prices from $4); pred Consulting@0.66 + $10M-$100M both wrong
revenue:$10M-$100M,blackhostbd.com,https://blackhostbd.com,507170,Ecommerce,0.57,,$10M-$100M,0.56,y,n,SaaS,n,Hosting,<$1M,AI: BD web-hosting company (redirects to blackhost.com.bd); pred $10M-$100M far high
revenue:$10M-$100M,miladys.com,https://miladys.com,77813,Ecommerce,0.98,Fashion,$10M-$100M,0.82,y,y,,y,,$100M-$1B,"AI: Mr Price Group womenswear chain ~230 stores; division est R2-3B ~= $110-170M, borderline - gut high side; pred one bracket low"
revenue:$10M-$100M,lemonlghtdigital.com,https://lemonlghtdigital.com,\N,Ecommerce,0.74,,$10M-$100M,0.63,y,n,Agency,,Video Production,$10M-$100M,AI: Lemonlight video-production agency (redirect); pred bracket $10M-$100M plausible - confirmed
revenue:$1B+,fairfaxmedicallab.com,https://fairfaxmedicallab.com,\N,Directory,0.64,Healthcare,$1B+,0.5,y,n,LocalBusiness,y,,$100M-$1B,"AI: redirects to sunriselab.com (Sonic Healthcare US division); pred Directory wrong, $1B+ one bracket high for the division"
